-----Epoch 0 开始训练-----

Total step : 100      Batch loss: 7.4820      Epoch average loss: 8.4259
Total step : 38500      Batch loss: 2.0089      Epoch average loss: 1.6801
Total step : 38600      Batch loss: 1.5803      Epoch average loss: 1.6847
Total step : 38700      Batch loss: 2.0635      Epoch average loss: 1.6878
Total step : 38800      Batch loss: 1.5659      Epoch average loss: 1.6883
Total step : 38900      Batch loss: 1.8766      Epoch average loss: 1.6926
Total step : 39000      Batch loss: 1.6395      Epoch average loss: 1.6973
Total step : 39100      Batch loss: 2.0576      Epoch average loss: 1.6999
Total step : 39200      Batch loss: 2.4450      Epoch average loss: 1.7036
Total step : 39300      Batch loss: 1.9800      Epoch average loss: 1.7065
Total step : 39400      Batch loss: 2.0668      Epoch average loss: 1.7099
Total step : 39500      Batch loss: 1.7166      Epoch average loss: 1.7122
Total step : 39600      Batch loss: 2.3202      Epoch average loss: 1.7179
Total step : 39700      Batch loss: 2.0720      Epoch average loss: 1.7167
Total step : 39800      Batch loss: 2.0035      Epoch average loss: 1.7183
Total step : 39900      Batch loss: 1.7937      Epoch average loss: 1.7218
Total step : 40000      Batch loss: 1.9096      Epoch average loss: 1.7222
Total step : 40100      Batch loss: 1.3714      Epoch average loss: 1.7241
Total step : 40200      Batch loss: 1.7920      Epoch average loss: 1.7256

-----Epoch 16 开始测试-----

Epoch: 16    BLEU: 0.2469

-----Epoch 17 开始训练-----

Total step : 40300      Batch loss: 1.5251      Epoch average loss: 1.6323
Total step : 40400      Batch loss: 1.8626      Epoch average loss: 1.6442
Total step : 40500      Batch loss: 1.6187      Epoch average loss: 1.6412
Total step : 40600      Batch loss: 1.7602      Epoch average loss: 1.6424
Total step : 40700      Batch loss: 1.3796      Epoch average loss: 1.6391
Total step : 40800      Batch loss: 1.5277      Epoch average loss: 1.6466
Total step : 40900      Batch loss: 1.9893      Epoch average loss: 1.6506
Total step : 41000      Batch loss: 2.1969      Epoch average loss: 1.6570
Total step : 41100      Batch loss: 1.5670      Epoch average loss: 1.6586
Total step : 41200      Batch loss: 1.7055      Epoch average loss: 1.6618
Total step : 41300      Batch loss: 2.0623      Epoch average loss: 1.6639
Total step : 41400      Batch loss: 1.7236      Epoch average loss: 1.6669
Total step : 41500      Batch loss: 1.9812      Epoch average loss: 1.6702
Total step : 41600      Batch loss: 1.7201      Epoch average loss: 1.6744
Total step : 41700      Batch loss: 1.5152      Epoch average loss: 1.6753
Total step : 41800      Batch loss: 1.8469      Epoch average loss: 1.6767
Total step : 41900      Batch loss: 1.1544      Epoch average loss: 1.6802
Total step : 42000      Batch loss: 1.3050      Epoch average loss: 1.6793
Total step : 42100      Batch loss: 1.4389      Epoch average loss: 1.6812
Total step : 42200      Batch loss: 1.0368      Epoch average loss: 1.6839
Total step : 42300      Batch loss: 2.2193      Epoch average loss: 1.6865
Total step : 42400      Batch loss: 1.6630      Epoch average loss: 1.6885
Total step : 42500      Batch loss: 1.6749      Epoch average loss: 1.6909

-----Epoch 17 开始测试-----

Epoch: 17    BLEU: 0.2481

-----Epoch 18 开始训练-----

Total step : 42600      Batch loss: 1.1019      Epoch average loss: 1.5917
Total step : 42700      Batch loss: 1.2795      Epoch average loss: 1.5925
Total step : 42800      Batch loss: 1.6588      Epoch average loss: 1.5968
Total step : 42900      Batch loss: 1.3530      Epoch average loss: 1.6016
Total step : 43000      Batch loss: 1.2757      Epoch average loss: 1.6094
Total step : 43100      Batch loss: 1.6438      Epoch average loss: 1.6099
Total step : 43200      Batch loss: 2.0081      Epoch average loss: 1.6096
Total step : 43300      Batch loss: 1.8083      Epoch average loss: 1.6201
Total step : 43400      Batch loss: 1.6618      Epoch average loss: 1.6272
Total step : 43500      Batch loss: 1.7946      Epoch average loss: 1.6307
Total step : 43600      Batch loss: 1.9138      Epoch average loss: 1.6340
Total step : 43700      Batch loss: 1.9108      Epoch average loss: 1.6352
Total step : 43800      Batch loss: 1.4600      Epoch average loss: 1.6376
Total step : 43900      Batch loss: 2.1617      Epoch average loss: 1.6402
Total step : 44000      Batch loss: 1.7082      Epoch average loss: 1.6417
Total step : 44100      Batch loss: 1.5455      Epoch average loss: 1.6442
Total step : 44200      Batch loss: 1.4211      Epoch average loss: 1.6467
Total step : 44300      Batch loss: 1.8806      Epoch average loss: 1.6485
Total step : 44400      Batch loss: 1.6458      Epoch average loss: 1.6508
Total step : 44500      Batch loss: 1.6974      Epoch average loss: 1.6534
Total step : 44600      Batch loss: 1.3964      Epoch average loss: 1.6562
Total step : 44700      Batch loss: 1.3866      Epoch average loss: 1.6577
Total step : 44800      Batch loss: 1.5767      Epoch average loss: 1.6600

-----Epoch 18 开始测试-----

Epoch: 18    BLEU: 0.2430

-----Epoch 19 开始训练-----

Total step : 44900      Batch loss: 1.3511      Epoch average loss: 1.5537
Total step : 45000      Batch loss: 1.8412      Epoch average loss: 1.5588
Total step : 45100      Batch loss: 1.8400      Epoch average loss: 1.5700
Total step : 45200      Batch loss: 1.9299      Epoch average loss: 1.5797
Total step : 45300      Batch loss: 1.3078      Epoch average loss: 1.5833
Total step : 45400      Batch loss: 1.5058      Epoch average loss: 1.5899
Total step : 45500      Batch loss: 1.6865      Epoch average loss: 1.5924
Total step : 45600      Batch loss: 1.3654      Epoch average loss: 1.5919
Total step : 45700      Batch loss: 1.5933      Epoch average loss: 1.5948
Total step : 45800      Batch loss: 1.6700      Epoch average loss: 1.5958
Total step : 45900      Batch loss: 1.4789      Epoch average loss: 1.5988
Total step : 46000      Batch loss: 1.3123      Epoch average loss: 1.6014
Total step : 46100      Batch loss: 1.7530      Epoch average loss: 1.6043
Total step : 46200      Batch loss: 1.4503      Epoch average loss: 1.6086
Total step : 46300      Batch loss: 1.7155      Epoch average loss: 1.6109
Total step : 46400      Batch loss: 1.5259      Epoch average loss: 1.6147
Total step : 46500      Batch loss: 1.8211      Epoch average loss: 1.6169
Total step : 46600      Batch loss: 1.3047      Epoch average loss: 1.6192
Total step : 46700      Batch loss: 1.6936      Epoch average loss: 1.6208
Total step : 46800      Batch loss: 1.9865      Epoch average loss: 1.6239
Total step : 46900      Batch loss: 1.2890      Epoch average loss: 1.6272
Total step : 47000      Batch loss: 1.8675      Epoch average loss: 1.6286
Total step : 47100      Batch loss: 1.8270      Epoch average loss: 1.6300

-----Epoch 19 开始测试-----

Epoch: 19    BLEU: 0.2454

-----Epoch 20 开始训练-----

Total step : 47200      Batch loss: 1.4466      Epoch average loss: 1.5023
Total step : 47300      Batch loss: 1.3346      Epoch average loss: 1.5237
Total step : 47400      Batch loss: 1.4392      Epoch average loss: 1.5425
Total step : 47500      Batch loss: 1.6190      Epoch average loss: 1.5429
Total step : 47600      Batch loss: 1.5300      Epoch average loss: 1.5454
Total step : 47700      Batch loss: 1.9046      Epoch average loss: 1.5565
Total step : 47800      Batch loss: 1.2036      Epoch average loss: 1.5612
Total step : 47900      Batch loss: 1.8242      Epoch average loss: 1.5630
Total step : 48000      Batch loss: 0.9675      Epoch average loss: 1.5690
Total step : 48100      Batch loss: 1.6554      Epoch average loss: 1.5676
Total step : 48200      Batch loss: 1.9629      Epoch average loss: 1.5718
Total step : 48300      Batch loss: 1.8954      Epoch average loss: 1.5780
Total step : 48400      Batch loss: 1.7772      Epoch average loss: 1.5791
Total step : 48500      Batch loss: 1.4540      Epoch average loss: 1.5824
Total step : 48600      Batch loss: 1.5033      Epoch average loss: 1.5837
Total step : 48700      Batch loss: 1.4708      Epoch average loss: 1.5876
Total step : 48800      Batch loss: 1.4607      Epoch average loss: 1.5901
Total step : 48900      Batch loss: 1.3927      Epoch average loss: 1.5906
Total step : 49000      Batch loss: 1.5698      Epoch average loss: 1.5935
Total step : 49100      Batch loss: 1.5757      Epoch average loss: 1.5956
Total step : 49200      Batch loss: 1.4978      Epoch average loss: 1.5976
Total step : 49300      Batch loss: 1.4272      Epoch average loss: 1.5993
Total step : 49400      Batch loss: 1.5625      Epoch average loss: 1.6021

-----Epoch 20 开始测试-----

Epoch: 20    BLEU: 0.2496

-----Epoch 21 开始训练-----

Total step : 49500      Batch loss: 1.3036      Epoch average loss: 1.5432
Total step : 49600      Batch loss: 1.6291      Epoch average loss: 1.5318
Total step : 49700      Batch loss: 1.4212      Epoch average loss: 1.5189
Total step : 49800      Batch loss: 1.5496      Epoch average loss: 1.5221
Total step : 49900      Batch loss: 1.7322      Epoch average loss: 1.5312
Total step : 50000      Batch loss: 2.0428      Epoch average loss: 1.5321
Total step : 50100      Batch loss: 1.5625      Epoch average loss: 1.5320
Total step : 50200      Batch loss: 1.2343      Epoch average loss: 1.5398
Total step : 50300      Batch loss: 1.4049      Epoch average loss: 1.5455
Total step : 50400      Batch loss: 1.7334      Epoch average loss: 1.5450
Total step : 50500      Batch loss: 1.7090      Epoch average loss: 1.5489
Total step : 50600      Batch loss: 1.5530      Epoch average loss: 1.5535
Total step : 50700      Batch loss: 1.4628      Epoch average loss: 1.5536
Total step : 50800      Batch loss: 1.4387      Epoch average loss: 1.5563
Total step : 50900      Batch loss: 1.6369      Epoch average loss: 1.5572
Total step : 51000      Batch loss: 1.7080      Epoch average loss: 1.5619
Total step : 51100      Batch loss: 1.9151      Epoch average loss: 1.5635
Total step : 51200      Batch loss: 1.4018      Epoch average loss: 1.5651
Total step : 51300      Batch loss: 1.6287      Epoch average loss: 1.5657
Total step : 51400      Batch loss: 1.4588      Epoch average loss: 1.5670
Total step : 51500      Batch loss: 1.3137      Epoch average loss: 1.5700
Total step : 51600      Batch loss: 1.7812      Epoch average loss: 1.5721
Total step : 51700      Batch loss: 1.7066      Epoch average loss: 1.5746

-----Epoch 21 开始测试-----

Epoch: 21    BLEU: 0.2509

-----Epoch 22 开始训练-----

Total step : 51800      Batch loss: 1.4723      Epoch average loss: 1.4798
Total step : 51900      Batch loss: 1.7322      Epoch average loss: 1.4862
Total step : 52000      Batch loss: 1.6837      Epoch average loss: 1.4901
Total step : 52100      Batch loss: 1.3328      Epoch average loss: 1.4949
Total step : 52200      Batch loss: 1.3426      Epoch average loss: 1.4974
Total step : 52300      Batch loss: 1.2173      Epoch average loss: 1.5043
Total step : 52400      Batch loss: 1.4686      Epoch average loss: 1.5039
Total step : 52500      Batch loss: 1.2048      Epoch average loss: 1.5108
Total step : 52600      Batch loss: 1.1550      Epoch average loss: 1.5160
Total step : 52700      Batch loss: 1.6674      Epoch average loss: 1.5201
Total step : 52800      Batch loss: 1.6151      Epoch average loss: 1.5233
Total step : 52900      Batch loss: 1.5645      Epoch average loss: 1.5248
Total step : 53000      Batch loss: 1.8957      Epoch average loss: 1.5281
Total step : 53100      Batch loss: 1.8106      Epoch average loss: 1.5326
Total step : 53200      Batch loss: 1.6749      Epoch average loss: 1.5333
Total step : 53300      Batch loss: 1.4490      Epoch average loss: 1.5371
Total step : 53400      Batch loss: 1.4557      Epoch average loss: 1.5387
Total step : 53500      Batch loss: 1.8144      Epoch average loss: 1.5392
Total step : 53600      Batch loss: 1.9772      Epoch average loss: 1.5423
Total step : 53700      Batch loss: 1.3035      Epoch average loss: 1.5438
Total step : 53800      Batch loss: 1.2899      Epoch average loss: 1.5468
Total step : 53900      Batch loss: 1.5503      Epoch average loss: 1.5480
Total step : 54000      Batch loss: 1.3043      Epoch average loss: 1.5503

-----Epoch 22 开始测试-----

Epoch: 22    BLEU: 0.2513

-----Epoch 23 开始训练-----

Total step : 54100      Batch loss: 1.6130      Epoch average loss: 1.4537
Total step : 54200      Batch loss: 1.6186      Epoch average loss: 1.4625
Total step : 54300      Batch loss: 1.0999      Epoch average loss: 1.4692
Total step : 54400      Batch loss: 1.7429      Epoch average loss: 1.4758
Total step : 54500      Batch loss: 1.6117      Epoch average loss: 1.4774
Total step : 54600      Batch loss: 1.2684      Epoch average loss: 1.4816
Total step : 54700      Batch loss: 1.5955      Epoch average loss: 1.4865
Total step : 54800      Batch loss: 1.3548      Epoch average loss: 1.4917
Total step : 54900      Batch loss: 1.6119      Epoch average loss: 1.4931
Total step : 55000      Batch loss: 1.8373      Epoch average loss: 1.4946
Total step : 55100      Batch loss: 1.8092      Epoch average loss: 1.4956
Total step : 55200      Batch loss: 1.5849      Epoch average loss: 1.4998
Total step : 55300      Batch loss: 1.4622      Epoch average loss: 1.5026
Total step : 55400      Batch loss: 1.1128      Epoch average loss: 1.5032
Total step : 55500      Batch loss: 1.8863      Epoch average loss: 1.5068
Total step : 55600      Batch loss: 1.3414      Epoch average loss: 1.5113
Total step : 55700      Batch loss: 1.6854      Epoch average loss: 1.5129
Total step : 55800      Batch loss: 1.3690      Epoch average loss: 1.5159
Total step : 55900      Batch loss: 1.4830      Epoch average loss: 1.5181
Total step : 56000      Batch loss: 1.6908      Epoch average loss: 1.5205
Total step : 56100      Batch loss: 1.8270      Epoch average loss: 1.5216
Total step : 56200      Batch loss: 1.5290      Epoch average loss: 1.5242

-----Epoch 23 开始测试-----

Epoch: 23    BLEU: 0.2572

-----Epoch 24 开始训练-----

Total step : 56300      Batch loss: 1.2570      Epoch average loss: 1.4068
Total step : 56400      Batch loss: 1.6972      Epoch average loss: 1.4448
Total step : 56500      Batch loss: 1.7372      Epoch average loss: 1.4470
Total step : 56600      Batch loss: 1.2678      Epoch average loss: 1.4598
Total step : 56700      Batch loss: 1.4513      Epoch average loss: 1.4584
Total step : 56800      Batch loss: 1.4196      Epoch average loss: 1.4570
Total step : 56900      Batch loss: 1.3636      Epoch average loss: 1.4643
Total step : 57000      Batch loss: 1.5381      Epoch average loss: 1.4666
Total step : 57100      Batch loss: 1.7181      Epoch average loss: 1.4685
Total step : 57200      Batch loss: 1.6298      Epoch average loss: 1.4713
Total step : 57300      Batch loss: 1.2619      Epoch average loss: 1.4735
Total step : 57400      Batch loss: 1.3117      Epoch average loss: 1.4809
Total step : 57500      Batch loss: 1.3546      Epoch average loss: 1.4801
Total step : 57600      Batch loss: 1.5775      Epoch average loss: 1.4842
Total step : 57700      Batch loss: 1.3227      Epoch average loss: 1.4883
Total step : 57800      Batch loss: 1.5122      Epoch average loss: 1.4875
Total step : 57900      Batch loss: 1.4973      Epoch average loss: 1.4885
Total step : 58000      Batch loss: 1.7037      Epoch average loss: 1.4897
Total step : 58100      Batch loss: 1.7438      Epoch average loss: 1.4933
Total step : 58200      Batch loss: 1.8511      Epoch average loss: 1.4958
Total step : 58300      Batch loss: 1.8649      Epoch average loss: 1.4968
Total step : 58400      Batch loss: 1.7705      Epoch average loss: 1.5002
Total step : 58500      Batch loss: 1.6500      Epoch average loss: 1.5023

-----Epoch 24 开始测试-----

Epoch: 24    BLEU: 0.2504

-----Epoch 25 开始训练-----

Total step : 58600      Batch loss: 1.3550      Epoch average loss: 1.4310
Total step : 58700      Batch loss: 1.5799      Epoch average loss: 1.4206
Total step : 58800      Batch loss: 1.5942      Epoch average loss: 1.4058
Total step : 58900      Batch loss: 1.1362      Epoch average loss: 1.4270
Total step : 59000      Batch loss: 1.6642      Epoch average loss: 1.4278
Total step : 59100      Batch loss: 1.3597      Epoch average loss: 1.4313
Total step : 59200      Batch loss: 1.4043      Epoch average loss: 1.4329
Total step : 59300      Batch loss: 1.5067      Epoch average loss: 1.4356
Total step : 59400      Batch loss: 1.5960      Epoch average loss: 1.4441
Total step : 59500      Batch loss: 1.2981      Epoch average loss: 1.4503
Total step : 59600      Batch loss: 1.1141      Epoch average loss: 1.4495
Total step : 59700      Batch loss: 1.6269      Epoch average loss: 1.4532
Total step : 59800      Batch loss: 1.3354      Epoch average loss: 1.4566
Total step : 59900      Batch loss: 1.3624      Epoch average loss: 1.4574
Total step : 60000      Batch loss: 1.3580      Epoch average loss: 1.4607
Total step : 60100      Batch loss: 1.3696      Epoch average loss: 1.4650
Total step : 60200      Batch loss: 1.4554      Epoch average loss: 1.4670
Total step : 60300      Batch loss: 1.4052      Epoch average loss: 1.4695
Total step : 60400      Batch loss: 1.8880      Epoch average loss: 1.4728
Total step : 60500      Batch loss: 1.4194      Epoch average loss: 1.4744
Total step : 60600      Batch loss: 2.0209      Epoch average loss: 1.4752
Total step : 60700      Batch loss: 1.1073      Epoch average loss: 1.4778
Total step : 60800      Batch loss: 1.0398      Epoch average loss: 1.4799

-----Epoch 25 开始测试-----

Epoch: 25    BLEU: 0.2544

-----Epoch 26 开始训练-----

Total step : 60900      Batch loss: 1.2258      Epoch average loss: 1.3612
Total step : 61000      Batch loss: 1.2075      Epoch average loss: 1.3933
Total step : 61100      Batch loss: 1.4531      Epoch average loss: 1.4080
Total step : 61200      Batch loss: 1.5834      Epoch average loss: 1.4096
Total step : 61300      Batch loss: 1.5907      Epoch average loss: 1.4106
Total step : 61400      Batch loss: 1.8715      Epoch average loss: 1.4132
Total step : 61500      Batch loss: 1.5045      Epoch average loss: 1.4182
Total step : 61600      Batch loss: 1.1319      Epoch average loss: 1.4205
Total step : 61700      Batch loss: 1.5299      Epoch average loss: 1.4257
Total step : 61800      Batch loss: 1.2302      Epoch average loss: 1.4284
Total step : 61900      Batch loss: 1.0917      Epoch average loss: 1.4293
Total step : 62000      Batch loss: 1.4930      Epoch average loss: 1.4328
Total step : 62100      Batch loss: 1.8647      Epoch average loss: 1.4349
Total step : 62200      Batch loss: 1.4095      Epoch average loss: 1.4378
Total step : 62300      Batch loss: 1.6154      Epoch average loss: 1.4404
Total step : 62400      Batch loss: 1.4274      Epoch average loss: 1.4431
Total step : 62500      Batch loss: 1.2814      Epoch average loss: 1.4436
Total step : 62600      Batch loss: 1.5750      Epoch average loss: 1.4468
Total step : 62700      Batch loss: 1.5861      Epoch average loss: 1.4508
Total step : 62800      Batch loss: 1.3024      Epoch average loss: 1.4516
Total step : 62900      Batch loss: 1.1679      Epoch average loss: 1.4541
Total step : 63000      Batch loss: 1.6184      Epoch average loss: 1.4564
Total step : 63100      Batch loss: 1.7364      Epoch average loss: 1.4589

-----Epoch 26 开始测试-----

Epoch: 26    BLEU: 0.2492

-----Epoch 27 开始训练-----

Total step : 63200      Batch loss: 1.5510      Epoch average loss: 1.3783
Total step : 63300      Batch loss: 1.5989      Epoch average loss: 1.3629
Total step : 63400      Batch loss: 1.4941      Epoch average loss: 1.3854
Total step : 63500      Batch loss: 1.2600      Epoch average loss: 1.3808
Total step : 63600      Batch loss: 1.5748      Epoch average loss: 1.3889
Total step : 63700      Batch loss: 1.3377      Epoch average loss: 1.3948
Total step : 63800      Batch loss: 1.4534      Epoch average loss: 1.3992
Total step : 63900      Batch loss: 1.2065      Epoch average loss: 1.4034
Total step : 64000      Batch loss: 1.1670      Epoch average loss: 1.4065
Total step : 64100      Batch loss: 1.2711      Epoch average loss: 1.4092
Total step : 64200      Batch loss: 1.1553      Epoch average loss: 1.4108
Total step : 64300      Batch loss: 1.4045      Epoch average loss: 1.4136
Total step : 64400      Batch loss: 1.3117      Epoch average loss: 1.4163
Total step : 64500      Batch loss: 1.1282      Epoch average loss: 1.4180
Total step : 64600      Batch loss: 1.5129      Epoch average loss: 1.4205
Total step : 64700      Batch loss: 1.6651      Epoch average loss: 1.4230
Total step : 64800      Batch loss: 1.7043      Epoch average loss: 1.4248
Total step : 64900      Batch loss: 1.6337      Epoch average loss: 1.4271
Total step : 65000      Batch loss: 1.6385      Epoch average loss: 1.4311
Total step : 65100      Batch loss: 0.9406      Epoch average loss: 1.4323
Total step : 65200      Batch loss: 1.3572      Epoch average loss: 1.4360
Total step : 65300      Batch loss: 1.7141      Epoch average loss: 1.4367
Total step : 65400      Batch loss: 1.5643      Epoch average loss: 1.4392

-----Epoch 27 开始测试-----

Epoch: 27    BLEU: 0.2549

-----Epoch 28 开始训练-----

Total step : 65500      Batch loss: 1.1013      Epoch average loss: 1.3078
Total step : 65600      Batch loss: 1.1275      Epoch average loss: 1.3327
Total step : 65700      Batch loss: 1.3000      Epoch average loss: 1.3577
Total step : 65800      Batch loss: 1.4832      Epoch average loss: 1.3589
Total step : 65900      Batch loss: 1.3753      Epoch average loss: 1.3695
Total step : 66000      Batch loss: 1.6309      Epoch average loss: 1.3743
Total step : 66100      Batch loss: 1.2413      Epoch average loss: 1.3804
Total step : 66200      Batch loss: 1.5317      Epoch average loss: 1.3808
Total step : 66300      Batch loss: 1.5792      Epoch average loss: 1.3848
Total step : 66400      Batch loss: 1.1325      Epoch average loss: 1.3890
Total step : 66500      Batch loss: 1.1834      Epoch average loss: 1.3899
Total step : 66600      Batch loss: 1.4357      Epoch average loss: 1.3924
Total step : 66700      Batch loss: 1.1680      Epoch average loss: 1.3956
Total step : 66800      Batch loss: 1.4106      Epoch average loss: 1.3989
Total step : 66900      Batch loss: 1.4474      Epoch average loss: 1.4019
Total step : 67000      Batch loss: 1.2929      Epoch average loss: 1.4053
Total step : 67100      Batch loss: 1.3411      Epoch average loss: 1.4060
Total step : 67200      Batch loss: 1.5022      Epoch average loss: 1.4077
Total step : 67300      Batch loss: 1.6370      Epoch average loss: 1.4107
Total step : 67400      Batch loss: 1.4782      Epoch average loss: 1.4136
Total step : 67500      Batch loss: 1.2194      Epoch average loss: 1.4159
Total step : 67600      Batch loss: 1.5486      Epoch average loss: 1.4170
Total step : 67700      Batch loss: 1.6102      Epoch average loss: 1.4191

-----Epoch 28 开始测试-----

Epoch: 28    BLEU: 0.2553

-----Epoch 29 开始训练-----

Total step : 67800      Batch loss: 1.4095      Epoch average loss: 1.3692
Total step : 67900      Batch loss: 0.8586      Epoch average loss: 1.3473
Total step : 68000      Batch loss: 1.1105      Epoch average loss: 1.3405
Total step : 68100      Batch loss: 1.6610      Epoch average loss: 1.3427
Total step : 68200      Batch loss: 1.2028      Epoch average loss: 1.3509
Total step : 68300      Batch loss: 1.5460      Epoch average loss: 1.3611
Total step : 68400      Batch loss: 1.7823      Epoch average loss: 1.3620
Total step : 68500      Batch loss: 1.2624      Epoch average loss: 1.3624
Total step : 68600      Batch loss: 1.2338      Epoch average loss: 1.3669
Total step : 68700      Batch loss: 1.0865      Epoch average loss: 1.3700
Total step : 68800      Batch loss: 1.5340      Epoch average loss: 1.3729
Total step : 68900      Batch loss: 1.4619      Epoch average loss: 1.3748
Total step : 69000      Batch loss: 1.4722      Epoch average loss: 1.3790
Total step : 69100      Batch loss: 1.4292      Epoch average loss: 1.3800
Total step : 69200      Batch loss: 1.2055      Epoch average loss: 1.3817
Total step : 69300      Batch loss: 1.6115      Epoch average loss: 1.3843
Total step : 69400      Batch loss: 1.6634      Epoch average loss: 1.3857
Total step : 69500      Batch loss: 1.2271      Epoch average loss: 1.3895
Total step : 69600      Batch loss: 1.5512      Epoch average loss: 1.3923
Total step : 69700      Batch loss: 1.0833      Epoch average loss: 1.3951
Total step : 69800      Batch loss: 1.2697      Epoch average loss: 1.3964
Total step : 69900      Batch loss: 1.1408      Epoch average loss: 1.3986
Total step : 70000      Batch loss: 1.4662      Epoch average loss: 1.4017

-----Epoch 29 开始测试-----

Epoch: 29    BLEU: 0.2539

-----Epoch 30 开始训练-----

Total step : 70100      Batch loss: 1.2262      Epoch average loss: 1.3340
Total step : 70200      Batch loss: 1.4972      Epoch average loss: 1.3344
Total step : 70300      Batch loss: 1.1396      Epoch average loss: 1.3223
Total step : 70400      Batch loss: 1.4138      Epoch average loss: 1.3322
Total step : 70500      Batch loss: 1.3851      Epoch average loss: 1.3350
Total step : 70600      Batch loss: 1.6206      Epoch average loss: 1.3369
Total step : 70700      Batch loss: 1.1640      Epoch average loss: 1.3431
Total step : 70800      Batch loss: 1.1952      Epoch average loss: 1.3447
Total step : 70900      Batch loss: 1.3275      Epoch average loss: 1.3493
Total step : 71000      Batch loss: 1.1262      Epoch average loss: 1.3505
Total step : 71100      Batch loss: 1.3585      Epoch average loss: 1.3548
Total step : 71200      Batch loss: 1.3290      Epoch average loss: 1.3592
Total step : 71300      Batch loss: 1.0412      Epoch average loss: 1.3598
Total step : 71400      Batch loss: 1.3887      Epoch average loss: 1.3618
Total step : 71500      Batch loss: 1.5776      Epoch average loss: 1.3633
Total step : 71600      Batch loss: 1.7207      Epoch average loss: 1.3690
Total step : 71700      Batch loss: 1.3231      Epoch average loss: 1.3699
Total step : 71800      Batch loss: 1.5678      Epoch average loss: 1.3736
Total step : 71900      Batch loss: 1.6196      Epoch average loss: 1.3762
Total step : 72000      Batch loss: 1.2711      Epoch average loss: 1.3787
Total step : 72100      Batch loss: 1.6037      Epoch average loss: 1.3795
Total step : 72200      Batch loss: 1.3042      Epoch average loss: 1.3816
Total step : 72300      Batch loss: 1.4677      Epoch average loss: 1.3839

-----Epoch 30 开始测试-----

Epoch: 30    BLEU: 0.2556

-----Epoch 31 开始训练-----

Total step : 72400      Batch loss: 1.3599      Epoch average loss: 1.3084
Total step : 72500      Batch loss: 1.3792      Epoch average loss: 1.3042
Total step : 72600      Batch loss: 1.2492      Epoch average loss: 1.3097
Total step : 72700      Batch loss: 1.3011      Epoch average loss: 1.3166
Total step : 72800      Batch loss: 1.3147      Epoch average loss: 1.3188
Total step : 72900      Batch loss: 1.1844      Epoch average loss: 1.3209
Total step : 73000      Batch loss: 1.1475      Epoch average loss: 1.3215
Total step : 73100      Batch loss: 0.7939      Epoch average loss: 1.3301
Total step : 73200      Batch loss: 1.5590      Epoch average loss: 1.3338
Total step : 73300      Batch loss: 1.6046      Epoch average loss: 1.3375
Total step : 73400      Batch loss: 1.6550      Epoch average loss: 1.3405
Total step : 73500      Batch loss: 1.1885      Epoch average loss: 1.3425
Total step : 73600      Batch loss: 1.0581      Epoch average loss: 1.3451
Total step : 73700      Batch loss: 1.5483      Epoch average loss: 1.3471
Total step : 73800      Batch loss: 1.2250      Epoch average loss: 1.3490
Total step : 73900      Batch loss: 1.7177      Epoch average loss: 1.3527
Total step : 74000      Batch loss: 1.3085      Epoch average loss: 1.3538
Total step : 74100      Batch loss: 1.4979      Epoch average loss: 1.3575
Total step : 74200      Batch loss: 1.2553      Epoch average loss: 1.3607
Total step : 74300      Batch loss: 1.5736      Epoch average loss: 1.3625
Total step : 74400      Batch loss: 1.7504      Epoch average loss: 1.3628
Total step : 74500      Batch loss: 1.4147      Epoch average loss: 1.3656
Total step : 74600      Batch loss: 1.3672      Epoch average loss: 1.3674

-----Epoch 31 开始测试-----

Epoch: 31    BLEU: 0.2548

-----Epoch 32 开始训练-----

Total step : 74700      Batch loss: 1.3315      Epoch average loss: 1.2910
Total step : 74800      Batch loss: 1.1524      Epoch average loss: 1.2776
Total step : 74900      Batch loss: 1.4932      Epoch average loss: 1.2923
Total step : 75000      Batch loss: 1.3598      Epoch average loss: 1.2960
Total step : 75100      Batch loss: 1.1742      Epoch average loss: 1.2996
Total step : 75200      Batch loss: 1.0915      Epoch average loss: 1.3067
Total step : 75300      Batch loss: 1.0874      Epoch average loss: 1.3093
Total step : 75400      Batch loss: 1.4828      Epoch average loss: 1.3121
Total step : 75500      Batch loss: 1.5406      Epoch average loss: 1.3136
Total step : 75600      Batch loss: 1.4901      Epoch average loss: 1.3181
Total step : 75700      Batch loss: 1.1519      Epoch average loss: 1.3217
Total step : 75800      Batch loss: 1.2534      Epoch average loss: 1.3245
Total step : 75900      Batch loss: 1.2748      Epoch average loss: 1.3276
Total step : 76000      Batch loss: 1.4648      Epoch average loss: 1.3311
Total step : 76100      Batch loss: 1.5596      Epoch average loss: 1.3344
Total step : 76200      Batch loss: 1.6271      Epoch average loss: 1.3362
Total step : 76300      Batch loss: 1.1656      Epoch average loss: 1.3391
Total step : 76400      Batch loss: 1.3925      Epoch average loss: 1.3408
Total step : 76500      Batch loss: 1.4693      Epoch average loss: 1.3417
Total step : 76600      Batch loss: 1.5162      Epoch average loss: 1.3446
Total step : 76700      Batch loss: 1.6847      Epoch average loss: 1.3482
Total step : 76800      Batch loss: 1.5029      Epoch average loss: 1.3499
