-----Epoch 0 开始训练-----

Total step : 100      Batch loss: 8.7398      Epoch average loss: 9.1253
Total step : 41100      Batch loss: 2.6029      Epoch average loss: 2.6580
Total step : 41200      Batch loss: 1.9738      Epoch average loss: 2.6569
Total step : 41300      Batch loss: 1.7099      Epoch average loss: 2.6557
Total step : 41400      Batch loss: 2.5911      Epoch average loss: 2.6545
Total step : 41500      Batch loss: 1.8473      Epoch average loss: 2.6531
Total step : 41600      Batch loss: 1.6867      Epoch average loss: 2.6518
Total step : 41700      Batch loss: 1.7480      Epoch average loss: 2.6508
Total step : 41800      Batch loss: 3.5855      Epoch average loss: 2.6497
Total step : 41900      Batch loss: 2.4077      Epoch average loss: 2.6487
Total step : 42000      Batch loss: 2.4943      Epoch average loss: 2.6477
Total step : 42100      Batch loss: 2.0768      Epoch average loss: 2.6466
Total step : 42200      Batch loss: 1.8830      Epoch average loss: 2.6458
Total step : 42300      Batch loss: 3.3229      Epoch average loss: 2.6447
Total step : 42400      Batch loss: 1.9149      Epoch average loss: 2.6434
Total step : 42500      Batch loss: 2.2894      Epoch average loss: 2.6423
Total step : 42600      Batch loss: 4.0259      Epoch average loss: 2.6413
Total step : 42700      Batch loss: 2.4869      Epoch average loss: 2.6400
Total step : 42800      Batch loss: 1.8885      Epoch average loss: 2.6389
Total step : 42900      Batch loss: 2.5920      Epoch average loss: 2.6377
Total step : 43000      Batch loss: 1.2685      Epoch average loss: 2.6370
Total step : 43100      Batch loss: 2.2053      Epoch average loss: 2.6361
Total step : 43200      Batch loss: 1.8642      Epoch average loss: 2.6351
Total step : 43300      Batch loss: 3.1747      Epoch average loss: 2.6340
Total step : 43400      Batch loss: 2.3605      Epoch average loss: 2.6329
Total step : 43500      Batch loss: 2.4679      Epoch average loss: 2.6316
Total step : 43600      Batch loss: 3.8999      Epoch average loss: 2.6307
Total step : 43700      Batch loss: 1.8015      Epoch average loss: 2.6298
Total step : 43800      Batch loss: 2.1721      Epoch average loss: 2.6286
Total step : 43900      Batch loss: 2.9148      Epoch average loss: 2.6276
Total step : 44000      Batch loss: 1.6397      Epoch average loss: 2.6266
Total step : 44100      Batch loss: 1.7438      Epoch average loss: 2.6257
Total step : 44200      Batch loss: 1.8632      Epoch average loss: 2.6247
Total step : 44300      Batch loss: 2.0059      Epoch average loss: 2.6237
Total step : 44400      Batch loss: 1.8842      Epoch average loss: 2.6227
Total step : 44500      Batch loss: 1.5992      Epoch average loss: 2.6216
Total step : 44600      Batch loss: 1.9876      Epoch average loss: 2.6205
Total step : 44700      Batch loss: 1.7968      Epoch average loss: 2.6198
Total step : 44800      Batch loss: 2.8837      Epoch average loss: 2.6188
Total step : 44900      Batch loss: 1.7002      Epoch average loss: 2.6177
Total step : 45000      Batch loss: 1.8912      Epoch average loss: 2.6166
Total step : 45100      Batch loss: 3.8265      Epoch average loss: 2.6157
Total step : 45200      Batch loss: 2.3979      Epoch average loss: 2.6146
Total step : 45300      Batch loss: 2.9149      Epoch average loss: 2.6135
Total step : 45400      Batch loss: 1.7152      Epoch average loss: 2.6126
Total step : 45500      Batch loss: 2.0490      Epoch average loss: 2.6117
Total step : 45600      Batch loss: 1.7134      Epoch average loss: 2.6107
Total step : 45700      Batch loss: 2.1587      Epoch average loss: 2.6097
Total step : 45800      Batch loss: 3.8840      Epoch average loss: 2.6088
Total step : 45900      Batch loss: 4.0209      Epoch average loss: 2.6081
Total step : 46000      Batch loss: 1.7193      Epoch average loss: 2.6070
Total step : 46100      Batch loss: 2.9626      Epoch average loss: 2.6064
Total step : 46200      Batch loss: 2.1075      Epoch average loss: 2.6055
Total step : 46300      Batch loss: 3.7077      Epoch average loss: 2.6048
Total step : 46400      Batch loss: 3.7115      Epoch average loss: 2.6038
Total step : 46500      Batch loss: 1.5209      Epoch average loss: 2.6029
Total step : 46600      Batch loss: 1.8595      Epoch average loss: 2.6020
Total step : 46700      Batch loss: 2.3360      Epoch average loss: 2.6011
Total step : 46800      Batch loss: 2.2105      Epoch average loss: 2.6000
Total step : 46900      Batch loss: 1.6556      Epoch average loss: 2.5990
Total step : 47000      Batch loss: 1.8452      Epoch average loss: 2.5979
Total step : 47100      Batch loss: 1.9493      Epoch average loss: 2.5968
Total step : 47200      Batch loss: 1.7551      Epoch average loss: 2.5958
Total step : 47300      Batch loss: 1.9978      Epoch average loss: 2.5948
Total step : 47400      Batch loss: 2.1950      Epoch average loss: 2.5941
Total step : 47500      Batch loss: 2.5926      Epoch average loss: 2.5932
Total step : 47600      Batch loss: 2.1655      Epoch average loss: 2.5924
Total step : 47700      Batch loss: 2.0422      Epoch average loss: 2.5915
Total step : 47800      Batch loss: 3.5590      Epoch average loss: 2.5908
Total step : 47900      Batch loss: 1.8896      Epoch average loss: 2.5898
Total step : 48000      Batch loss: 3.1756      Epoch average loss: 2.5888
Total step : 48100      Batch loss: 1.8545      Epoch average loss: 2.5880
Total step : 48200      Batch loss: 2.5051      Epoch average loss: 2.5871
Total step : 48300      Batch loss: 2.5491      Epoch average loss: 2.5862
Total step : 48400      Batch loss: 2.8547      Epoch average loss: 2.5853
Total step : 48500      Batch loss: 2.5371      Epoch average loss: 2.5843

-----Epoch 0 开始测试-----

Epoch: 0    BLEU: 0.2545

-----Epoch 1 开始训练-----

Total step : 48600      Batch loss: 1.8220      Epoch average loss: 2.0550
Total step : 48700      Batch loss: 2.8809      Epoch average loss: 2.0553
Total step : 48800      Batch loss: 2.4951      Epoch average loss: 2.0825
Total step : 48900      Batch loss: 1.6351      Epoch average loss: 2.0845
Total step : 49000      Batch loss: 3.8606      Epoch average loss: 2.0973
Total step : 49100      Batch loss: 1.9476      Epoch average loss: 2.1092
Total step : 49200      Batch loss: 1.8452      Epoch average loss: 2.1190
Total step : 49300      Batch loss: 2.3087      Epoch average loss: 2.1178
Total step : 49400      Batch loss: 1.7595      Epoch average loss: 2.1193
Total step : 49500      Batch loss: 1.9717      Epoch average loss: 2.1189
Total step : 49600      Batch loss: 2.1860      Epoch average loss: 2.1270
Total step : 49700      Batch loss: 1.8692      Epoch average loss: 2.1201
Total step : 49800      Batch loss: 1.7316      Epoch average loss: 2.1130
Total step : 49900      Batch loss: 3.7621      Epoch average loss: 2.1215
Total step : 50000      Batch loss: 1.8781      Epoch average loss: 2.1222
Total step : 50100      Batch loss: 1.6029      Epoch average loss: 2.1280
Total step : 50200      Batch loss: 2.0231      Epoch average loss: 2.1266
Total step : 50300      Batch loss: 2.0517      Epoch average loss: 2.1211
Total step : 50400      Batch loss: 1.7190      Epoch average loss: 2.1221
Total step : 50500      Batch loss: 2.3697      Epoch average loss: 2.1172
Total step : 50600      Batch loss: 3.0175      Epoch average loss: 2.1224
Total step : 50700      Batch loss: 1.9291      Epoch average loss: 2.1268
Total step : 50800      Batch loss: 1.5944      Epoch average loss: 2.1247
Total step : 50900      Batch loss: 1.8807      Epoch average loss: 2.1243
Total step : 51000      Batch loss: 1.8128      Epoch average loss: 2.1243
Total step : 51100      Batch loss: 1.7141      Epoch average loss: 2.1269
Total step : 51200      Batch loss: 3.4808      Epoch average loss: 2.1259
Total step : 51300      Batch loss: 1.9403      Epoch average loss: 2.1281
Total step : 51400      Batch loss: 2.3105      Epoch average loss: 2.1283
Total step : 51500      Batch loss: 1.8166      Epoch average loss: 2.1277
Total step : 51600      Batch loss: 2.8339      Epoch average loss: 2.1282
Total step : 51700      Batch loss: 1.6862      Epoch average loss: 2.1263
Total step : 51800      Batch loss: 1.6199      Epoch average loss: 2.1248
Total step : 51900      Batch loss: 1.8303      Epoch average loss: 2.1280
Total step : 52000      Batch loss: 1.9613      Epoch average loss: 2.1255
Total step : 52100      Batch loss: 1.9115      Epoch average loss: 2.1249
Total step : 52200      Batch loss: 3.7387      Epoch average loss: 2.1248
Total step : 52300      Batch loss: 2.1910      Epoch average loss: 2.1239
Total step : 52400      Batch loss: 1.6130      Epoch average loss: 2.1240
Total step : 52500      Batch loss: 2.0023      Epoch average loss: 2.1237
Total step : 52600      Batch loss: 2.0009      Epoch average loss: 2.1268
Total step : 52700      Batch loss: 2.1635      Epoch average loss: 2.1283
Total step : 52800      Batch loss: 2.3222      Epoch average loss: 2.1295
Total step : 52900      Batch loss: 1.5802      Epoch average loss: 2.1277
Total step : 53000      Batch loss: 1.9126      Epoch average loss: 2.1272
Total step : 53100      Batch loss: 2.1309      Epoch average loss: 2.1244
Total step : 53200      Batch loss: 2.6175      Epoch average loss: 2.1259
Total step : 53300      Batch loss: 2.2673      Epoch average loss: 2.1271
Total step : 53400      Batch loss: 2.9309      Epoch average loss: 2.1266
Total step : 53500      Batch loss: 3.5181      Epoch average loss: 2.1270
Total step : 53600      Batch loss: 1.8726      Epoch average loss: 2.1278
Total step : 53700      Batch loss: 1.7077      Epoch average loss: 2.1268
Total step : 53800      Batch loss: 1.6914      Epoch average loss: 2.1283
Total step : 53900      Batch loss: 1.9044      Epoch average loss: 2.1285
Total step : 54000      Batch loss: 1.8852      Epoch average loss: 2.1286
Total step : 54100      Batch loss: 4.1436      Epoch average loss: 2.1280
Total step : 54200      Batch loss: 1.3338      Epoch average loss: 2.1265
Total step : 54300      Batch loss: 1.8089      Epoch average loss: 2.1270
Total step : 54400      Batch loss: 2.1585      Epoch average loss: 2.1265
Total step : 54500      Batch loss: 2.0745      Epoch average loss: 2.1256
Total step : 54600      Batch loss: 2.0582      Epoch average loss: 2.1257
Total step : 54700      Batch loss: 1.8195      Epoch average loss: 2.1247
Total step : 54800      Batch loss: 2.1291      Epoch average loss: 2.1252
Total step : 54900      Batch loss: 2.9803      Epoch average loss: 2.1244
Total step : 55000      Batch loss: 3.5052      Epoch average loss: 2.1244
Total step : 55100      Batch loss: 1.7498      Epoch average loss: 2.1250
Total step : 55200      Batch loss: 1.7211      Epoch average loss: 2.1242
Total step : 55300      Batch loss: 1.7978      Epoch average loss: 2.1245
Total step : 55400      Batch loss: 2.5928      Epoch average loss: 2.1256
Total step : 55500      Batch loss: 1.8056      Epoch average loss: 2.1244
Total step : 55600      Batch loss: 1.7690      Epoch average loss: 2.1232
Total step : 55700      Batch loss: 2.1019      Epoch average loss: 2.1241
Total step : 55800      Batch loss: 1.7318      Epoch average loss: 2.1234
Total step : 55900      Batch loss: 3.5666      Epoch average loss: 2.1240
Total step : 56000      Batch loss: 1.9910      Epoch average loss: 2.1239
Total step : 56100      Batch loss: 3.6109      Epoch average loss: 2.1239
Total step : 56200      Batch loss: 1.9353      Epoch average loss: 2.1244
Total step : 56300      Batch loss: 1.9435      Epoch average loss: 2.1235
Total step : 56400      Batch loss: 2.0945      Epoch average loss: 2.1238
Total step : 56500      Batch loss: 3.1023      Epoch average loss: 2.1235
Total step : 56600      Batch loss: 3.5735      Epoch average loss: 2.1241
Total step : 56700      Batch loss: 3.1866      Epoch average loss: 2.1245
Total step : 56800      Batch loss: 1.3347      Epoch average loss: 2.1253
Total step : 56900      Batch loss: 0.6891      Epoch average loss: 2.1249
Total step : 57000      Batch loss: 1.8736      Epoch average loss: 2.1249
Total step : 57100      Batch loss: 1.7739      Epoch average loss: 2.1239
Total step : 57200      Batch loss: 1.8661      Epoch average loss: 2.1244
Total step : 57300      Batch loss: 1.8660      Epoch average loss: 2.1237
Total step : 57400      Batch loss: 2.1662      Epoch average loss: 2.1235
Total step : 57500      Batch loss: 1.7624      Epoch average loss: 2.1239
Total step : 57600      Batch loss: 1.8605      Epoch average loss: 2.1241
Total step : 57700      Batch loss: 1.8389      Epoch average loss: 2.1241
Total step : 57800      Batch loss: 3.2588      Epoch average loss: 2.1243
Total step : 57900      Batch loss: 1.7162      Epoch average loss: 2.1240
Total step : 58000      Batch loss: 2.0699      Epoch average loss: 2.1235
Total step : 58100      Batch loss: 2.1718      Epoch average loss: 2.1222
Total step : 58200      Batch loss: 2.1006      Epoch average loss: 2.1226
Total step : 58300      Batch loss: 2.0919      Epoch average loss: 2.1219
Total step : 58400      Batch loss: 1.8671      Epoch average loss: 2.1220
Total step : 58500      Batch loss: 2.3956      Epoch average loss: 2.1213
Total step : 58600      Batch loss: 1.7793      Epoch average loss: 2.1215
Total step : 58700      Batch loss: 2.0379      Epoch average loss: 2.1216
Total step : 58800      Batch loss: 2.2658      Epoch average loss: 2.1214
Total step : 58900      Batch loss: 1.9141      Epoch average loss: 2.1216
Total step : 59000      Batch loss: 1.5301      Epoch average loss: 2.1209
Total step : 59100      Batch loss: 3.0031      Epoch average loss: 2.1209
Total step : 59200      Batch loss: 1.6938      Epoch average loss: 2.1208
Total step : 59300      Batch loss: 1.8973      Epoch average loss: 2.1211
Total step : 59400      Batch loss: 2.3159      Epoch average loss: 2.1208
Total step : 59500      Batch loss: 1.9264      Epoch average loss: 2.1213
Total step : 59600      Batch loss: 1.5762      Epoch average loss: 2.1211
Total step : 59700      Batch loss: 2.6959      Epoch average loss: 2.1213
Total step : 59800      Batch loss: 2.5390      Epoch average loss: 2.1219
Total step : 59900      Batch loss: 2.1860      Epoch average loss: 2.1220
Total step : 60000      Batch loss: 1.8341      Epoch average loss: 2.1209
Total step : 60100      Batch loss: 1.8049      Epoch average loss: 2.1212
Total step : 60200      Batch loss: 1.9893      Epoch average loss: 2.1214
Total step : 60300      Batch loss: 1.9403      Epoch average loss: 2.1219
Total step : 60400      Batch loss: 1.8730      Epoch average loss: 2.1215
Total step : 60500      Batch loss: 1.7689      Epoch average loss: 2.1215
Total step : 60600      Batch loss: 3.0643      Epoch average loss: 2.1213
Total step : 60700      Batch loss: 2.1017      Epoch average loss: 2.1212
Total step : 60800      Batch loss: 2.4029      Epoch average loss: 2.1206
Total step : 60900      Batch loss: 3.6042      Epoch average loss: 2.1208
Total step : 61000      Batch loss: 1.7335      Epoch average loss: 2.1206
Total step : 61100      Batch loss: 1.9030      Epoch average loss: 2.1209
Total step : 61200      Batch loss: 1.8309      Epoch average loss: 2.1208
Total step : 61300      Batch loss: 2.2824      Epoch average loss: 2.1204
Total step : 61400      Batch loss: 1.6915      Epoch average loss: 2.1202
Total step : 61500      Batch loss: 2.3263      Epoch average loss: 2.1201
Total step : 61600      Batch loss: 2.0634      Epoch average loss: 2.1200
Total step : 61700      Batch loss: 2.7733      Epoch average loss: 2.1203
Total step : 61800      Batch loss: 2.0987      Epoch average loss: 2.1199
Total step : 61900      Batch loss: 2.3108      Epoch average loss: 2.1203
Total step : 62000      Batch loss: 2.0332      Epoch average loss: 2.1204
Total step : 62100      Batch loss: 2.1093      Epoch average loss: 2.1203
Total step : 62200      Batch loss: 1.9437      Epoch average loss: 2.1200
Total step : 62300      Batch loss: 2.7213      Epoch average loss: 2.1199
Total step : 62400      Batch loss: 3.1980      Epoch average loss: 2.1198
Total step : 62500      Batch loss: 1.7073      Epoch average loss: 2.1193
Total step : 62600      Batch loss: 2.0941      Epoch average loss: 2.1193
Total step : 62700      Batch loss: 1.7146      Epoch average loss: 2.1188
Total step : 62800      Batch loss: 1.7625      Epoch average loss: 2.1187
Total step : 62900      Batch loss: 2.4825      Epoch average loss: 2.1193
Total step : 63000      Batch loss: 2.0396      Epoch average loss: 2.1192
Total step : 63100      Batch loss: 1.8894      Epoch average loss: 2.1190
Total step : 63200      Batch loss: 1.8693      Epoch average loss: 2.1188
Total step : 63300      Batch loss: 2.8394      Epoch average loss: 2.1189
Total step : 63400      Batch loss: 1.9969      Epoch average loss: 2.1186
Total step : 63500      Batch loss: 3.4687      Epoch average loss: 2.1183
Total step : 63600      Batch loss: 1.7634      Epoch average loss: 2.1187
Total step : 63700      Batch loss: 1.0649      Epoch average loss: 2.1182
Total step : 63800      Batch loss: 2.4655      Epoch average loss: 2.1176
Total step : 63900      Batch loss: 1.7854      Epoch average loss: 2.1180
Total step : 64000      Batch loss: 2.0916      Epoch average loss: 2.1179
Total step : 64100      Batch loss: 1.5379      Epoch average loss: 2.1173
Total step : 64200      Batch loss: 3.0970      Epoch average loss: 2.1169
Total step : 64300      Batch loss: 3.4671      Epoch average loss: 2.1172
Total step : 64400      Batch loss: 3.3880      Epoch average loss: 2.1179
Total step : 64500      Batch loss: 1.4068      Epoch average loss: 2.1178
Total step : 64600      Batch loss: 2.2913      Epoch average loss: 2.1179
Total step : 64700      Batch loss: 1.6877      Epoch average loss: 2.1177
Total step : 64800      Batch loss: 1.8539      Epoch average loss: 2.1176
Total step : 64900      Batch loss: 2.8567      Epoch average loss: 2.1171
Total step : 65000      Batch loss: 3.7091      Epoch average loss: 2.1177
Total step : 65100      Batch loss: 1.9368      Epoch average loss: 2.1178
Total step : 65200      Batch loss: 2.3733      Epoch average loss: 2.1176
Total step : 65300      Batch loss: 1.9751      Epoch average loss: 2.1174
Total step : 65400      Batch loss: 1.6858      Epoch average loss: 2.1172
Total step : 65500      Batch loss: 1.6198      Epoch average loss: 2.1168
Total step : 65600      Batch loss: 1.7860      Epoch average loss: 2.1165
Total step : 65700      Batch loss: 1.7467      Epoch average loss: 2.1161
Total step : 65800      Batch loss: 1.9336      Epoch average loss: 2.1163
Total step : 65900      Batch loss: 2.0550      Epoch average loss: 2.1163
Total step : 66000      Batch loss: 2.0248      Epoch average loss: 2.1165
Total step : 66100      Batch loss: 1.6703      Epoch average loss: 2.1162
Total step : 66200      Batch loss: 2.1547      Epoch average loss: 2.1163
Total step : 66300      Batch loss: 3.3812      Epoch average loss: 2.1164
Total step : 66400      Batch loss: 3.3603      Epoch average loss: 2.1157
Total step : 66500      Batch loss: 1.7040      Epoch average loss: 2.1159
Total step : 66600      Batch loss: 2.2506      Epoch average loss: 2.1161
Total step : 66700      Batch loss: 1.9087      Epoch average loss: 2.1165
Total step : 66800      Batch loss: 1.9288      Epoch average loss: 2.1164
Total step : 66900      Batch loss: 1.8490      Epoch average loss: 2.1164
Total step : 67000      Batch loss: 1.6248      Epoch average loss: 2.1163
Total step : 67100      Batch loss: 1.9354      Epoch average loss: 2.1162
Total step : 67200      Batch loss: 1.7290      Epoch average loss: 2.1159
Total step : 67300      Batch loss: 2.0471      Epoch average loss: 2.1162
Total step : 67400      Batch loss: 1.6857      Epoch average loss: 2.1160
Total step : 67500      Batch loss: 1.8303      Epoch average loss: 2.1154
Total step : 67600      Batch loss: 2.1093      Epoch average loss: 2.1148
Total step : 67700      Batch loss: 1.6654      Epoch average loss: 2.1143
Total step : 67800      Batch loss: 1.8507      Epoch average loss: 2.1142
Total step : 67900      Batch loss: 1.6307      Epoch average loss: 2.1141
Total step : 68000      Batch loss: 1.7345      Epoch average loss: 2.1140
Total step : 68100      Batch loss: 3.4715      Epoch average loss: 2.1141
Total step : 68200      Batch loss: 2.1203      Epoch average loss: 2.1141
Total step : 68300      Batch loss: 1.7819      Epoch average loss: 2.1142
Total step : 68400      Batch loss: 1.7195      Epoch average loss: 2.1138
Total step : 68500      Batch loss: 2.0596      Epoch average loss: 2.1138
Total step : 68600      Batch loss: 1.9257      Epoch average loss: 2.1136
Total step : 68700      Batch loss: 3.5752      Epoch average loss: 2.1133
Total step : 68800      Batch loss: 1.6329      Epoch average loss: 2.1130
Total step : 68900      Batch loss: 1.9764      Epoch average loss: 2.1130
Total step : 69000      Batch loss: 2.4857      Epoch average loss: 2.1131
Total step : 69100      Batch loss: 2.0709      Epoch average loss: 2.1131
Total step : 69200      Batch loss: 1.4536      Epoch average loss: 2.1128
Total step : 69300      Batch loss: 2.2391      Epoch average loss: 2.1128
Total step : 69400      Batch loss: 2.0061      Epoch average loss: 2.1128
Total step : 69500      Batch loss: 1.8864      Epoch average loss: 2.1131
Total step : 69600      Batch loss: 1.8256      Epoch average loss: 2.1132
Total step : 69700      Batch loss: 1.9427      Epoch average loss: 2.1131
Total step : 69800      Batch loss: 1.7844      Epoch average loss: 2.1127
Total step : 69900      Batch loss: 1.7761      Epoch average loss: 2.1130
Total step : 70000      Batch loss: 1.8475      Epoch average loss: 2.1131
Total step : 70100      Batch loss: 2.3646      Epoch average loss: 2.1130
Total step : 70200      Batch loss: 3.2201      Epoch average loss: 2.1127
Total step : 70300      Batch loss: 2.9784      Epoch average loss: 2.1129
Total step : 70400      Batch loss: 1.8901      Epoch average loss: 2.1129
Total step : 70500      Batch loss: 1.8631      Epoch average loss: 2.1128
Total step : 70600      Batch loss: 1.9055      Epoch average loss: 2.1131
Total step : 70700      Batch loss: 1.7748      Epoch average loss: 2.1126
Total step : 70800      Batch loss: 0.6259      Epoch average loss: 2.1123
Total step : 70900      Batch loss: 2.0983      Epoch average loss: 2.1118
Total step : 71000      Batch loss: 1.8582      Epoch average loss: 2.1118
Total step : 71100      Batch loss: 1.9077      Epoch average loss: 2.1115
Total step : 71200      Batch loss: 2.0456      Epoch average loss: 2.1114
Total step : 71300      Batch loss: 1.6820      Epoch average loss: 2.1109
Total step : 71400      Batch loss: 1.7599      Epoch average loss: 2.1116
Total step : 71500      Batch loss: 1.6631      Epoch average loss: 2.1113
Total step : 71600      Batch loss: 1.6623      Epoch average loss: 2.1112
Total step : 71700      Batch loss: 1.7586      Epoch average loss: 2.1115
Total step : 71800      Batch loss: 1.7098      Epoch average loss: 2.1112
Total step : 71900      Batch loss: 3.3293      Epoch average loss: 2.1111
Total step : 72000      Batch loss: 3.6506      Epoch average loss: 2.1112
Total step : 72100      Batch loss: 1.7311      Epoch average loss: 2.1110
Total step : 72200      Batch loss: 1.7395      Epoch average loss: 2.1106
Total step : 72300      Batch loss: 1.6709      Epoch average loss: 2.1105
Total step : 72400      Batch loss: 1.7416      Epoch average loss: 2.1104
Total step : 72500      Batch loss: 3.0185      Epoch average loss: 2.1103
Total step : 72600      Batch loss: 4.0347      Epoch average loss: 2.1104
Total step : 72700      Batch loss: 2.9189      Epoch average loss: 2.1101
Total step : 72800      Batch loss: 2.5768      Epoch average loss: 2.1101
Total step : 72900      Batch loss: 1.8422      Epoch average loss: 2.1100
Total step : 73000      Batch loss: 3.2857      Epoch average loss: 2.1096
Total step : 73100      Batch loss: 1.8333      Epoch average loss: 2.1096
Total step : 73200      Batch loss: 1.8141      Epoch average loss: 2.1097
Total step : 73300      Batch loss: 2.9909      Epoch average loss: 2.1096
Total step : 73400      Batch loss: 2.9586      Epoch average loss: 2.1097
Total step : 73500      Batch loss: 1.9228      Epoch average loss: 2.1092
Total step : 73600      Batch loss: 2.0010      Epoch average loss: 2.1091
Total step : 73700      Batch loss: 2.1413      Epoch average loss: 2.1088
Total step : 73800      Batch loss: 2.3280      Epoch average loss: 2.1088
Total step : 73900      Batch loss: 1.7948      Epoch average loss: 2.1089
Total step : 74000      Batch loss: 1.3825      Epoch average loss: 2.1084
Total step : 74100      Batch loss: 2.0547      Epoch average loss: 2.1081
Total step : 74200      Batch loss: 3.4672      Epoch average loss: 2.1082
Total step : 74300      Batch loss: 3.3142      Epoch average loss: 2.1083
Total step : 74400      Batch loss: 1.8782      Epoch average loss: 2.1088
Total step : 74500      Batch loss: 2.0440      Epoch average loss: 2.1087
Total step : 74600      Batch loss: 1.6633      Epoch average loss: 2.1082
Total step : 74700      Batch loss: 1.8102      Epoch average loss: 2.1081
Total step : 74800      Batch loss: 1.9914      Epoch average loss: 2.1077
Total step : 74900      Batch loss: 1.6670      Epoch average loss: 2.1075
Total step : 75000      Batch loss: 1.8053      Epoch average loss: 2.1076
Total step : 75100      Batch loss: 1.7226      Epoch average loss: 2.1075
Total step : 75200      Batch loss: 1.8018      Epoch average loss: 2.1074
Total step : 75300      Batch loss: 3.5772      Epoch average loss: 2.1073
Total step : 75400      Batch loss: 2.0314      Epoch average loss: 2.1069
Total step : 75500      Batch loss: 1.8704      Epoch average loss: 2.1068
Total step : 75600      Batch loss: 2.5059      Epoch average loss: 2.1068
Total step : 75700      Batch loss: 1.8414      Epoch average loss: 2.1069
Total step : 75800      Batch loss: 1.6165      Epoch average loss: 2.1069
Total step : 75900      Batch loss: 1.7536      Epoch average loss: 2.1070
Total step : 76000      Batch loss: 2.1629      Epoch average loss: 2.1065
Total step : 76100      Batch loss: 2.1000      Epoch average loss: 2.1064
Total step : 76200      Batch loss: 1.6992      Epoch average loss: 2.1063
Total step : 76300      Batch loss: 1.7809      Epoch average loss: 2.1065
Total step : 76400      Batch loss: 1.6924      Epoch average loss: 2.1063
Total step : 76500      Batch loss: 1.9170      Epoch average loss: 2.1061
Total step : 76600      Batch loss: 1.8142      Epoch average loss: 2.1061
Total step : 76700      Batch loss: 3.6030      Epoch average loss: 2.1064
Total step : 76800      Batch loss: 3.3954      Epoch average loss: 2.1062
Total step : 76900      Batch loss: 2.0942      Epoch average loss: 2.1061
Total step : 77000      Batch loss: 1.8667      Epoch average loss: 2.1060
Total step : 77100      Batch loss: 2.1498      Epoch average loss: 2.1057
Total step : 77200      Batch loss: 1.8716      Epoch average loss: 2.1056
Total step : 77300      Batch loss: 2.2022      Epoch average loss: 2.1055
Total step : 77400      Batch loss: 2.5450      Epoch average loss: 2.1054
Total step : 77500      Batch loss: 1.8210      Epoch average loss: 2.1054
Total step : 77600      Batch loss: 2.0476      Epoch average loss: 2.1054
Total step : 77700      Batch loss: 1.8920      Epoch average loss: 2.1051
Total step : 77800      Batch loss: 1.8005      Epoch average loss: 2.1049
Total step : 77900      Batch loss: 1.9070      Epoch average loss: 2.1047
Total step : 78000      Batch loss: 3.5082      Epoch average loss: 2.1045
Total step : 78100      Batch loss: 2.3849      Epoch average loss: 2.1046
Total step : 78200      Batch loss: 3.6910      Epoch average loss: 2.1045
Total step : 78300      Batch loss: 1.8950      Epoch average loss: 2.1045
Total step : 78400      Batch loss: 3.5984      Epoch average loss: 2.1044
Total step : 78500      Batch loss: 1.9983      Epoch average loss: 2.1042
Total step : 78600      Batch loss: 1.6743      Epoch average loss: 2.1039
Total step : 78700      Batch loss: 1.9307      Epoch average loss: 2.1036
Total step : 78800      Batch loss: 1.9359      Epoch average loss: 2.1037
Total step : 78900      Batch loss: 1.7356      Epoch average loss: 2.1036
Total step : 79000      Batch loss: 2.0123      Epoch average loss: 2.1035
Total step : 79100      Batch loss: 1.7724      Epoch average loss: 2.1037
Total step : 79200      Batch loss: 2.0413      Epoch average loss: 2.1038
Total step : 79300      Batch loss: 1.1923      Epoch average loss: 2.1038
Total step : 79400      Batch loss: 3.6878      Epoch average loss: 2.1035
Total step : 79500      Batch loss: 2.2683      Epoch average loss: 2.1035
Total step : 79600      Batch loss: 1.8819      Epoch average loss: 2.1033
Total step : 79700      Batch loss: 1.9888      Epoch average loss: 2.1032
Total step : 79800      Batch loss: 1.8723      Epoch average loss: 2.1033
Total step : 79900      Batch loss: 1.8586      Epoch average loss: 2.1032
Total step : 80000      Batch loss: 1.9931      Epoch average loss: 2.1032
Total step : 80100      Batch loss: 3.9164      Epoch average loss: 2.1030
Total step : 80200      Batch loss: 1.2932      Epoch average loss: 2.1031
Total step : 80300      Batch loss: 1.6103      Epoch average loss: 2.1028
Total step : 80400      Batch loss: 1.8975      Epoch average loss: 2.1023
Total step : 80500      Batch loss: 2.4585      Epoch average loss: 2.1021
Total step : 80600      Batch loss: 1.9502      Epoch average loss: 2.1023
Total step : 80700      Batch loss: 1.6410      Epoch average loss: 2.1019
Total step : 80800      Batch loss: 2.5413      Epoch average loss: 2.1023
Total step : 80900      Batch loss: 1.7773      Epoch average loss: 2.1022
Total step : 81000      Batch loss: 1.7012      Epoch average loss: 2.1021
Total step : 81100      Batch loss: 1.8860      Epoch average loss: 2.1018
Total step : 81200      Batch loss: 2.1061      Epoch average loss: 2.1017
Total step : 81300      Batch loss: 2.6936      Epoch average loss: 2.1016
Total step : 81400      Batch loss: 3.6447      Epoch average loss: 2.1016
Total step : 81500      Batch loss: 1.6013      Epoch average loss: 2.1014
Total step : 81600      Batch loss: 3.7710      Epoch average loss: 2.1014
Total step : 81700      Batch loss: 1.8022      Epoch average loss: 2.1009
Total step : 81800      Batch loss: 1.6266      Epoch average loss: 2.1010
