-----Epoch 0 开始训练-----

Total step : 100      Batch loss: 8.7573      Epoch average loss: 8.9668
Total step : 38600      Batch loss: 1.9269      Epoch average loss: 1.8773
Total step : 38700      Batch loss: 1.9785      Epoch average loss: 1.8758
Total step : 38800      Batch loss: 2.0221      Epoch average loss: 1.8774
Total step : 38900      Batch loss: 1.9680      Epoch average loss: 1.8781
Total step : 39000      Batch loss: 2.0956      Epoch average loss: 1.8787
Total step : 39100      Batch loss: 2.0184      Epoch average loss: 1.8816
Total step : 39200      Batch loss: 0.8021      Epoch average loss: 1.8817
Total step : 39300      Batch loss: 1.6083      Epoch average loss: 1.8818
Total step : 39400      Batch loss: 2.2003      Epoch average loss: 1.8821
Total step : 39500      Batch loss: 2.0599      Epoch average loss: 1.8836
Total step : 39600      Batch loss: 1.5951      Epoch average loss: 1.8844
Total step : 39700      Batch loss: 1.9578      Epoch average loss: 1.8845
Total step : 39800      Batch loss: 2.0708      Epoch average loss: 1.8861

-----Epoch 15 开始测试-----

Epoch: 15    BLEU: 0.2437

-----Epoch 16 开始训练-----

Total step : 39900      Batch loss: 1.8062      Epoch average loss: 1.8349
Total step : 40000      Batch loss: 2.1773      Epoch average loss: 1.8418
Total step : 40100      Batch loss: 1.8418      Epoch average loss: 1.8480
Total step : 40200      Batch loss: 2.0807      Epoch average loss: 1.8476
Total step : 40300      Batch loss: 2.1350      Epoch average loss: 1.8502
Total step : 40400      Batch loss: 1.8958      Epoch average loss: 1.8535
Total step : 40500      Batch loss: 1.8695      Epoch average loss: 1.8520
Total step : 40600      Batch loss: 1.9620      Epoch average loss: 1.8497
Total step : 40700      Batch loss: 1.5652      Epoch average loss: 1.8472
Total step : 40800      Batch loss: 2.1378      Epoch average loss: 1.8518
Total step : 40900      Batch loss: 1.8080      Epoch average loss: 1.8561
Total step : 41000      Batch loss: 1.6510      Epoch average loss: 1.8571
Total step : 41100      Batch loss: 1.4672      Epoch average loss: 1.8569
Total step : 41200      Batch loss: 1.9535      Epoch average loss: 1.8615
Total step : 41300      Batch loss: 1.7855      Epoch average loss: 1.8592
Total step : 41400      Batch loss: 1.9379      Epoch average loss: 1.8609
Total step : 41500      Batch loss: 1.7858      Epoch average loss: 1.8607
Total step : 41600      Batch loss: 1.8785      Epoch average loss: 1.8624
Total step : 41700      Batch loss: 1.4344      Epoch average loss: 1.8628
Total step : 41800      Batch loss: 1.6215      Epoch average loss: 1.8644
Total step : 41900      Batch loss: 2.2511      Epoch average loss: 1.8659
Total step : 42000      Batch loss: 2.0848      Epoch average loss: 1.8672
Total step : 42100      Batch loss: 1.8765      Epoch average loss: 1.8678
Total step : 42200      Batch loss: 2.1981      Epoch average loss: 1.8688
Total step : 42300      Batch loss: 1.6179      Epoch average loss: 1.8685

-----Epoch 16 开始测试-----

Epoch: 16    BLEU: 0.2492

-----Epoch 17 开始训练-----

Total step : 42400      Batch loss: 1.9819      Epoch average loss: 1.8313
Total step : 42500      Batch loss: 2.0043      Epoch average loss: 1.8152
Total step : 42600      Batch loss: 1.8223      Epoch average loss: 1.8251
Total step : 42700      Batch loss: 1.7047      Epoch average loss: 1.8346
Total step : 42800      Batch loss: 1.7623      Epoch average loss: 1.8329
Total step : 42900      Batch loss: 1.4206      Epoch average loss: 1.8300
Total step : 43000      Batch loss: 1.2205      Epoch average loss: 1.8328
Total step : 43100      Batch loss: 1.8924      Epoch average loss: 1.8339
Total step : 43200      Batch loss: 2.2096      Epoch average loss: 1.8397
Total step : 43300      Batch loss: 2.0078      Epoch average loss: 1.8381
Total step : 43400      Batch loss: 1.9626      Epoch average loss: 1.8393
Total step : 43500      Batch loss: 1.9197      Epoch average loss: 1.8404
Total step : 43600      Batch loss: 1.5471      Epoch average loss: 1.8408
Total step : 43700      Batch loss: 2.4098      Epoch average loss: 1.8427
Total step : 43800      Batch loss: 1.8286      Epoch average loss: 1.8426
Total step : 43900      Batch loss: 1.9265      Epoch average loss: 1.8430
Total step : 44000      Batch loss: 1.6300      Epoch average loss: 1.8434
Total step : 44100      Batch loss: 1.7646      Epoch average loss: 1.8456
Total step : 44200      Batch loss: 2.1620      Epoch average loss: 1.8474
Total step : 44300      Batch loss: 2.1508      Epoch average loss: 1.8479
Total step : 44400      Batch loss: 1.7724      Epoch average loss: 1.8496
Total step : 44500      Batch loss: 2.1277      Epoch average loss: 1.8502
Total step : 44600      Batch loss: 1.8663      Epoch average loss: 1.8510
Total step : 44700      Batch loss: 2.1233      Epoch average loss: 1.8531
Total step : 44800      Batch loss: 1.7590      Epoch average loss: 1.8530

-----Epoch 17 开始测试-----

Epoch: 17    BLEU: 0.2394

-----Epoch 18 开始训练-----

Total step : 44900      Batch loss: 1.8319      Epoch average loss: 1.7795
Total step : 45000      Batch loss: 1.6343      Epoch average loss: 1.8077
Total step : 45100      Batch loss: 1.8838      Epoch average loss: 1.8142
Total step : 45200      Batch loss: 2.1408      Epoch average loss: 1.8164
Total step : 45300      Batch loss: 2.1362      Epoch average loss: 1.8177
Total step : 45400      Batch loss: 2.1183      Epoch average loss: 1.8186
Total step : 45500      Batch loss: 1.8180      Epoch average loss: 1.8275
Total step : 45600      Batch loss: 1.9196      Epoch average loss: 1.8272
Total step : 45700      Batch loss: 2.0265      Epoch average loss: 1.8263
Total step : 45800      Batch loss: 2.1901      Epoch average loss: 1.8270
Total step : 45900      Batch loss: 1.9224      Epoch average loss: 1.8285
Total step : 46000      Batch loss: 1.6285      Epoch average loss: 1.8311
Total step : 46100      Batch loss: 1.5592      Epoch average loss: 1.8296
Total step : 46200      Batch loss: 1.9268      Epoch average loss: 1.8291
Total step : 46300      Batch loss: 1.7422      Epoch average loss: 1.8290
Total step : 46400      Batch loss: 1.3741      Epoch average loss: 1.8324
Total step : 46500      Batch loss: 1.8937      Epoch average loss: 1.8333
Total step : 46600      Batch loss: 1.6285      Epoch average loss: 1.8334
Total step : 46700      Batch loss: 1.7239      Epoch average loss: 1.8312
Total step : 46800      Batch loss: 1.9763      Epoch average loss: 1.8343
Total step : 46900      Batch loss: 2.0057      Epoch average loss: 1.8348
Total step : 47000      Batch loss: 2.1989      Epoch average loss: 1.8362
